tipo_doc,cpf,nome_aluno,turma_1,turma_2,ausencia_inicio,ausencia_fim,data_ausencia
DECLARACAO,17235954035,PRISCILA NEVES,1982,0261,2026-05-04,2026-05-10,2026-05-04 00:00:00
ATESTADO MEDICO,19032868322,LETICIA PINTO,2983,,2026-03-23,2026-03-25,2026-03-22 00:00:00
ATESTADO MEDICO,90053873947,LARISSA CARVALHO,0004,2981,2026-02-26,2026-03-04,2026-02-25 00:00:00
ATESTADO MEDICO,13867794669,DANIEL CARDOSO,0450,,2024-08-30,2024-09-04,2024-08-30 00:00:00
ATESTADO MEDICO,66715256683,RODRIGO CAVALCANTI,0053,0451,2024-09-24,2024-10-04,2024-09-23 00:00:00
DECLARACAO,34395847200,CAROLINA CAMPOS,0981,0002,2025-11-13,2025-11-14,2025-11-12 00:00:00
ATESTADO MEDICO,35581624984,FABIO BATISTA,1980,0002,2025-10-17,2025-10-26,2025-10-15 00:00:00
ATESTADO MEDICO,37755643654,ROBERTO CARVALHO,1983,0981,2026-11-11,2026-11-13,2026-11-09 00:00:00
ATESTADO MEDICO,85333264406,SIMONE PIRES,0980,0451,2024-03-18,2024-03-26,2024-03-16 00:00:00
DECLARACAO,65852460397,FERNANDA SOUZA,0451,0051,2025-10-12,2025-10-22,2025-10-11 00:00:00
DECLARACAO,19032868322,MARCIA SOARES,0050,0261,2026-07-10,2026-07-20,2026-07-10 00:00:00
ATESTADO MEDICO,30066202752,LEANDRO ARAUJO,0981,2981,2025-08-24,2025-08-30,2025-08-22 00:00:00
DECLARACAO,16684020098,GUSTAVO REZENDE,2983,,2026-03-08,2026-03-13,2026-03-08 00:00:00
ATESTADO MEDICO,41840740736,CESAR RAMOS,0103,,2026-08-31,2026-09-02,2026-08-31 00:00:00
ATESTADO MEDICO,88895242866,ANDREA FARIAS,1980,2981,2025-02-13,2025-02-16,2025-02-11 00:00:00
DECLARACAO,08885352286,HENRIQUE MENDES,0453,0051,2025-10-29,2025-11-02,2025-10-27 00:00:00
ATESTADO MEDICO,50922173834,ANDERSON PEREIRA,0452,0002,2025-12-19,2025-12-28,2025-12-18 00:00:00
DECLARACAO,76300982513,CAROLINA NUNES,0100,0101,2024-04-02,2024-04-09,2024-04-01 00:00:00
ATESTADO MEDICO,31096462346,THIAGO MOREIRA,0053,0451,2023-01-26,2023-01-31,2023-01-26 00:00:00
ATESTADO MEDICO,43758031427,SILVIA LOPES,0003,,2025-06-19,2025-06-27,2025-06-19 00:00:00
ATESTADO MEDICO,44904098773,CLAUDIA SOARES,0002,0981,2026-06-03,2026-06-07,2026-06-02 00:00:00
ATESTADO MEDICO,60357275659,ANDREIA CUNHA,0004,0101,2024-04-21,2024-04-22,2024-04-21 00:00:00
ATESTADO MEDICO,52236858493,GUSTAVO REZENDE,0452,0051,2025-04-07,2025-04-09,2025-04-05 00:00:00
ATESTADO MEDICO,68862846223,SABRINA DIAS,0980,0451,2026-07-15,2026-07-20,2026-07-13 00:00:00
ATESTADO MEDICO,46715619646,CAROLINA NUNES,0102,1981,2025-02-26,2025-03-04,2025-02-26 00:00:00
ATESTADO MEDICO,55297354870,AMANDA NASCIMENTO,0103,0981,2024-11-27,2024-12-07,2024-11-25 00:00:00
DECLARACAO,88878162809,MARCELO LIMA,2983,0451,2026-06-02,2026-06-03,2026-06-01 00:00:00
DECLARACAO,19032868322,ANDREA FARIAS,0100,0101,2024-08-24,2024-08-25,2024-08-24 00:00:00
ATESTADO MEDICO,78305773159,CLAUDIA SOARES,0263,0101,2025-10-12,2025-10-17,2025-10-11 00:00:00
DECLARACAO,07952146505,BIANCA MONTEIRO,2980,2981,2026-11-15,2026-11-23,2026-11-13 00:00:00
ATESTADO MEDICO,54411734249,ALINE MORAES,0053,,2026-08-02,2026-08-12,2026-07-31 00:00:00
DECLARACAO,46431421701,MARCELO CORREIA,0263,1981,2025-08-10,2025-08-15,2025-08-08 00:00:00
DECLARACAO,88490416249,BIANCA MONTEIRO,1983,0981,2026-08-30,2026-09-06,2026-08-28 00:00:00
ATESTADO MEDICO,50599581328,VANESSA PIRES,1982,0451,2026-09-22,2026-09-25,2026-09-22 00:00:00
ATESTADO MEDICO,51344758061,FLAVIA MIRANDA,0983,0981,2025-06-11,2025-06-13,2025-06-09 00:00:00
ATESTADO MEDICO,77397020305,SABRINA DIAS,1983,0981,2026-10-09,2026-10-11,2026-10-08 00:00:00
DECLARACAO,52567899618,BEATRIZ LIMA,0002,0051,2023-11-16,2023-11-17,2023-11-15 00:00:00
DECLARACAO,43758031427,JULIANA ROCHA,0263,0451,2024-12-27,2025-01-04,2024-12-26 00:00:00
ATESTADO MEDICO,05642666126,LUCIANA FARIAS,1983,,2025-08-03,2025-08-12,2025-08-03 00:00:00
DECLARACAO,80251835642,BARBARA SILVA,1981,0101,2025-01-29,2025-02-03,2025-01-28 00:00:00
ATESTADO MEDICO,43680664648,CAMILA GOMES,0261,,2024-10-05,2024-10-14,2024-10-03 00:00:00
DECLARACAO,39483842158,LETICIA PINTO,0980,0451,2025-09-22,2025-09-23,2025-09-20 00:00:00
DECLARACAO,31267812761,EDSON FERNANDES,2980,0002,2023-08-23,2023-09-01,2023-08-22 00:00:00
ATESTADO MEDICO,98776748820,BEATRIZ LIMA,0003,0051,2024-06-09,2024-06-12,2024-06-07 00:00:00
DECLARACAO,43758031427,ALESSANDRA FREITAS,0980,0261,2025-04-01,2025-04-11,2025-03-31 00:00:00
ATESTADO MEDICO,05984215721,WELLINGTON CARDOSO,0980,0261,2023-02-24,2023-03-01,2023-02-22 00:00:00
DECLARACAO,22643771001,DANIELA XAVIER,0001,0261,2026-08-25,2026-09-02,2026-08-25 00:00:00
ATESTADO MEDICO,12047863309,RAFAEL PEREIRA,1981,0261,2024-03-25,2024-03-31,2024-03-25 00:00:00
ATESTADO MEDICO,95142717180,CAMILA GOMES,0263,0002,2025-08-17,2025-08-26,2025-08-15 00:00:00
ATESTADO MEDICO,35729764308,ALEX MELO,0100,,2025-05-06,2025-05-15,2025-05-06 00:00:00
ATESTADO MEDICO,26049862567,VANESSA AZEVEDO,0983,,2023-05-06,2023-05-16,2023-05-05 00:00:00
ATESTADO MEDICO,06301028996,DANIEL CARDOSO,2980,0101,2025-12-06,2025-12-10,2025-12-05 00:00:00
DECLARACAO,92519199172,RICARDO RAMOS,0263,0101,2026-12-21,2026-12-29,2026-12-21 00:00:00
ATESTADO MEDICO,75784957040,MARCELO LIMA,0983,0981,2024-07-02,2024-07-04,2024-06-30 00:00:00
DECLARACAO,45662808023,FLAVIA MIRANDA,0005,1981,2026-08-20,2026-08-21,2026-08-19 00:00:00
DECLARACAO,92543439781,RENAN MELO,0101,,2023-09-06,2023-09-11,2023-09-05 00:00:00
ATESTADO MEDICO,83294087527,ANDRE BARROS,0050,0051,2026-08-07,2026-08-15,2026-08-06 00:00:00
DECLARACAO,02611040206,JEFFERSON DUARTE,0982,,2024-02-12,2024-02-18,2024-02-10 00:00:00
DECLARACAO,54411734249,MONICA VIEIRA,1980,0051,2025-05-16,2025-05-19,2025-05-15 00:00:00
ATESTADO MEDICO,72758424169,VIVIANE MONTEIRO,0104,,2024-03-06,2024-03-13,2024-03-05 00:00:00
ATESTADO MEDICO,44679802294,DEBORA FONSECA,1982,0051,2026-09-06,2026-09-11,2026-09-06 00:00:00
ATESTADO MEDICO,41676716548,DEBORA FONSECA,0261,,2026-01-12,2026-01-20,2026-01-12 00:00:00
DECLARACAO,48013704700,DANIEL CARDOSO,0452,2981,2024-12-27,2024-12-28,2024-12-25 00:00:00
ATESTADO MEDICO,12707102733,VANESSA AZEVEDO,0103,0101,2026-04-16,2026-04-21,2026-04-16 00:00:00
DECLARACAO,67961307400,BARBARA SILVA,0002,,2024-01-26,2024-01-30,2024-01-24 00:00:00
ATESTADO MEDICO,93648399004,DANIEL CARDOSO,0261,2981,2026-06-29,2026-07-03,2026-06-27 00:00:00
